sentence	label
Feels so good to be home.	0
Stay.	0
How's the play going?	0
I'm nervous.	0
Why?	0
Because...	0
What if people show up?	0
Fuck `em!	0
You're nervous about what they think?	0
I'm nervous to be up on a stage and perform in front of people.	0
I'm terrified.	0
They should be so lucky to see it.	0
It's going to be incredible.	0
I can't wait.	0
I can.	0
What time do you leave in the morning?	0
6:45, [LOCATION] .	0
You should come.	0
To [LOCATION] ?	0
Yeah, you could knock that off your bucket list.	0
Wish I could.	0
Why can't you?	0
Because I have to rehearse.	0
Can't you rehearse anywhere?	0
You mean anywhere you are?	0
Well, all my stuff is here and my show's in a few weeks and -- I don't know, it doesn't seem practical...	0
Right... I just -- we're going to have to do things so we can see each other.	0
We never see each other.	0
I know, but when are you done?	0
...What do you mean?	0
When are you done with the tour?	0
But -- as soon as we're done with the tour we go back and record, and then we go back on tour.	0
We tour so we can make the record, and then we go back on tour to sell the record.	0
So it's...the long haul?	0
...What does that mean?	0
I mean the long haul -- like, you're going to be in this band for a long time.	0
What did you think I was going to do?	0
I don't know, I didn't think the band would --	0
You didn't think we'd be successful.	0
No, that's not what I meant.	0
What I meant was -- this band -- you're going to be on the road for -- what, years now?	0
Yeah, feasibly -- I could be on the road for years with just this record.	0
Do you like the music you're playing?	0
I don't know how that matters.	0
It matters if you're going to give up your dream to be on the road for years.	0
Do you like the music I'm playing?	0
Yes. I do.	0
I just didn't think you did.	0
Yeah, well, I --	0
And now I hear you're going to be on the road for years, and I'm --	0
What are you doing?	0
Why are you doing this?	0
What do you mean why am I doing this?	0
This is what you wanted from me.	0
To be in this band?	0
To have a steady job.	0
Yes, I wanted you to have a job so you could take care of yourself and start your club.	0
So I'm doing that.	0
So why aren't we celebrating?	0
Why aren't you starting your club?	0
You said yourself no one wants to go to that club!	0
No one wants to go to a club called Chicken on a Stick --	0
Change the name!	0
-- and no one likes jazz. Not even you.	0
I do like jazz now, because of you.	0
What am I supposed to do?	0
Go back to playing "Jingle Bells" so I can save money for some Shangri-La club no one wants to go to?	0
People will want to go to it!	0
People love what other people are passionate about.	0
Not in my experience.	0
Anyway -- it's time to grow up.	0
You know?	0
This is what I'm doing.	0
If you had a problem, I wish you would've said something earlier, before I signed on the dotted line.	0
You had a dream that you were sticking to, that --	0
This is the dream!	0
This is not your dream.	0
Guys like me go their whole lives and never do anything that's liked.	0
I'm finally doing something that people enjoy.	0
What is wrong with that?	0
Why do you care so much about being liked?	0
You're an actress, who are you to talk??	0
Maybe you liked me more when I was a failure because it made you feel better about yourself.	0
Are you kidding?	0
No.	0
Wait --	0
