sentence	label
It's getting quiet.	0
Just a few more minutes.	0
It'll take them a while to get the boats organized...	0
I don't know about you, but I intend to write a strongly worded letter to the White Star Line about all this.	0
I love you [Person].	0
No... don't say your good-byes, [Person].	0
Don't you give up.	0
Don't do it.	0
I'm so cold.	0
You're going to get out of this...	0
You're going to go on and you're going to make babies and watch them grow and you're going to die an old lady, warm in your bed.	0
Not here.	0
Not this night.	0
Do you understand me?	0
I can't feel my body.	0
[Person], listen to me. Listen.	0
Winning that ticket was the best thing that ever happened to me.	0
It brought me to you.	0
And I'm thankful, [Person]. I'm thankful.	0
You must do me this honor...	0
Promise me you will survive...	0
That you will never give up...	0
No matter what happens...	0
No matter how hopeless...	0
Promise me now, and never let go of that promise.	0
I promise.	0
Never let go.	0
I promise.	0
I will never let go, [Person].	0
I'll never let go.	0
