sentence	label
Yeah I was just telling him . 	0
Two pair 10s and sixes . 	0
There 's more where that came from . 	0
[PERSON] [PERSON] sir . 	0
One moment please . 	0
Or any place ! 	0
Well because that makes sense . 	0
Last card . 	0
I fold . 	0
Not very lucky is he ? 	0
I figure to call his shot when I turn my back . 	0
I ca n't beat three sevens . 	0
A dead man has one half-hour to raise his roll outside and get back in the game . 	0
Who ? 	0
Killing [PERSON] put the kibosh on the whole slaughterhouse right ? 	0
Until morning that is . 	0
Give me that gun . 	0
[PERSON] [ORGANIZATION] and [ORGANIZATION] . 	0
Where you been ? 	0
[PERSON] [PERSON] . 	0
And I ca n't get started . 	0
I jack it up and get whipped on both sides . 	0
They 've been worse . 	0
But do n't let that fool you . 	0
[LOCATION] is not blind . 	0
I suppose it 's more a matter of climate than anything else . 	0
[LOCATION] . 	0
[LOCATION] of eights . 	0
That is undoubtedly true . 	0
[LOCATION] [ORGANIZATION] ... 	0
Look this is the [ORGANIZATION] of two days ago . 	0
Five thousand to you Pig . 	0
[LOCATION] ! 	0
What happened to your coat ? 	0
What about what I said ? 	0
What then ? 	0
May I offer you something to drink [PERSON] ? 	0
Ai n't much you can do about us . 	0
That 's maybe 1000 $ 2000 ? 	0
He 's a percentage player . 	0
You go find it . 	0
No I had something to eat in town . 	0
I 'm gon na be ... 	0
Where 's [ORGANIZATION] ? 	0
He owns [PERSON] Development which owns [PERSON] ... which lets us alone . 	0
Oh yeah ? 	0
Not yet . 	0
Take it easy Pig . 	0
My plan ? 	0
Too long . 	0
Got you for 110 a 60 and an 85 . 	0
[LOCATION] ? 	0
Yeah ? 	0
You 're like all the rest of them you got ta be in love . 	0
I 'll take the 110 the 60 . 	0
A little wine with music . 	0
The three of spades . 	0
Four-twenty . 	0
[LOCATION] time 's sake means you got no cash . 	0
That plan ? 	0
He 's here . 	0
Yes that 's a Tintoretto . 	0
Call the 980 . 	0
What would you figure the odds to be [PERSON] ? 	0
What 'd you do today ? 	0
[LOCATION] to the jacks . 	0
I 'll try it . 	0
That rate 6000 that makes roughly ... two hundred dollars an hour . 	0
I 'm getting frightfully healthy you know . 	0
[LOCATION] to you . 	0
[LOCATION] . 	0
It was just like old times . 	0
Nine to the kings . 	0
I 've been studying on it . 	0
Not anymore . 	0
May still be some in that drawer over there . 	0
At everything ? 	0
Now that does n't go in there . 	0
Yes I did . 	0
You know who that was [PERSON] ? 	0
Good evening [PERSON] . 	0
[PERSON] [ORGANIZATION] ! 	0
[LOCATION] ! 	0
You being an [LOCATION] and all . 	0
[LOCATION] ? 	0
Where else do you see it ? 	0
That will be all tonight . 	0
No unpleasantness I hope . 	0
Come on now [PERSON] . 	0
Well it could happen could n't it ? 	0
A gunfight . 	0
No other reason ? 	0
I recollect a young man putting the same question to Eddie the [ORGANIZATION] . 	0
Ten to the jacks . 	0
Least you know how much you mean to somebody . 	0
Twenty-five to you Pig . 	0
Last card . 	0
No straight no flush . 	0
Do n't you know it . 	0
He 's a little younger than you is n't he ? 	0
I got a right to without regard to race creed or color ... according to the 14th Amendment . 	0
What do you mean buster ? 	0
Heads . 	0
That 's right . 	0
Nothing doing . 	0
Now do n't tell me [PERSON] 's your oldest and best friend . 	0
[LOCATION] those sevens . 	0
Well you should . 	0
[LOCATION] of aces bets . 	0
Where you been keeping yourself ? 	0
[LOCATION] everybody . 	0
Come on the tougher the competition the better you used to like it . 	0
What was the wish ? 	0
[PERSON] [PERSON] ... after the game ... 	0
Come on . 	0
Last card . 	0
What do you think we ought to do that 's fitting and proper ? 	0
[LOCATION] 's Rock to [PERSON] without a stop . 	0
This is the master bedroom . 	0
All right . 	0
A deuce to the man . 	0
Deal me out . 	0
Man I 'm outside . 	0
They come from the [ORGANIZATION] ... and they 've been bonded by the steward . 	0
By the authority vested in me this hanging will proceed . 	0
Eleven hundred to you Pig . 	0
[LOCATION] poker . 	0
My name is n't [PERSON] . 	0
Quincy-6859 please . 	0
Now why do I doubt that ? 	0
[PERSON] [ORGANIZATION] . 	0
You gave me two years to pay them . 	0
Build your life anew . 	0
His uncle [PERSON] was right on the job . 	0
Then [PERSON] came along . 	0
I 'll settle for the 1700 that I 've already lost . 	0
[LOCATION] of sevens . 	0
[LOCATION] . 	0
I might do that . 	0
Well then you wo n't be home for a while . 	0
Yeah that 's right Lancey . 	0
Just a wee bit more [PERSON] . 	0
How about if she 'd go with you and Christian ? 	0
Just throw our hats in the air . 	0
Are you playing tonight or just dealing ? 	0
Well ... we 've been playing 30 hours . 	0
Oh went to the movies . 	0
Well now my cottontail bunny rabbits . 	0
I 'm sticking . 	0
Hundred-and-ninety-four fisheroos to you friend . 	0
The longest game I ever played was on the maiden voyage of the [LOCATION] . 	0
It 's for my kind of money . 	0
Aces up . 	0
Eleven hundred . 	0
[LOCATION] custard . 	0
About the dance I mean . 	0
It does now . 	0
Thank you [PERSON] . 	0
[PERSON] [PERSON] is an old man Shooter . 	0
Nine to the sevens . 	0
You know the missus . 	0
The man himself . 	0
Probably both . 	0
Well this Spanish general had sent the message that he 's coming ... to spend the night with his army . 	0
Did you see that ? 	0
But why ? 	0
Here 's the safe . 	0
She went home to mama . 	0
When are you going ? 	0
The [LOCATION] has changed . 	0
[PERSON] there tells me how you gutted him once with a pair of fours . 	0
[PERSON] folded a king . 	0
Tricks ? 	0
Remember the Herefords in [LOCATION] ? 	0
[LOCATION] . 	0
Like the session we had in [LOCATION] ? 	0
Hi Kid . 	0
What 's so odd about that ? 	0
You saw that coming did you ? 	0
It 's not gon na be like sitting down with me and [PERSON] . 	0
[PERSON] left me too . 	0
You know this game that you 're dealing for [PERSON] and the Kid you know ? 	0
Then we 'll make it 1100 . 	0
[LOCATION] could be laying for him with three jacks . 	0
[PERSON] [PERSON] told him all you paid was the looking price . 	0
Yeah that 's right Lancey . 	0
A bin actually in the pantry . 	0
Working . 	0
Can you beat that ? 	0
And it was all in [LOCATION] . 	0
I 'll be there . 	0
You take the 85 ... and put it back in your bank . 	0
I 'll play . 	0
How much have you got ? 	0
Not now anyways . 	0
Yeah husbands fathers everybody . 	0
Thanks Kid . 	0
Did n't She Kid ? 	0
Think so ? 	0
Couple hundred bucks . 	0
How about that mess . 	0
[LOCATION] of nines bets . 	0
Of course you could n't . 	0
Sure it could happen . 	0
You did tell the Kid 8:00 did n't you ? 	0
Welcome back to [GSP] . 	0
Hey how 's it going ? 	0
Two thou ... ? 	0
Ace-king bets . 	0
Call the sawbuck . 	0
[LOCATION] out the shares . 	0
King folds . 	0
When I saw you hesitate about accepting that $ 25000 . 	0
Another 200 . 	0
I 'll ... bet the size of the pot . 	0
Ace king 10 . 	0
Then it 's all settled . 	0
I know what you mean [PERSON] . 	0
But then again so was [PERSON] . 	0
They 're where we want them . 	0
Hardly a cellar . 	0
Just tie into something nice when you 're away from the action ... and let it wear itself out . 	0
[LOCATION] . 	0
I got something Shooter . 	0
Keep dealing . 	0
Three sevens . 	0
I do n't think you have it in you Miss [PERSON] . 	0
Where are those kids ? 	0
[LOCATION] this is [PERSON] . 	0
That 's true . 	0
Well ... 	0
Better write yourself a new book daddy . 	0
[LOCATION] . 	0
What about you [PERSON] ? 	0
Well I hope it is n't gon na be one of those marathon games . 	0
Five ... 10 14 . 	0
Compulsory call Kid . 	0
It may be just a rumor . 	0
That 's how it usually comes out in the long run . 	0
Yeah . 	0
[LOCATION] ... 	0
[LOCATION] ! 	0
Is that right Shooter ? 	0
It 's a whole new deal . 	0
